Team_Id,Team_Name,Team_Short_Code
1,Kolkata Knight Riders,KKR
2,Royal Challengers Bangalore,RCB
3,Chennai Super Kings,CSK
4,Kings XI Punjab,KXIP
5,Rajasthan Royals,RR
6,Delhi Champions,DC
7,Mumbai Indians,MI
8,Sunrisers Hyderabad,SRH
9,Rising Pune Supergiants,RPS
10,Gujarat Titans,GT
